Make,Model,Year,Style,Distance,Engine_capacity(cm3),Fuel_type,Transmission
3,743,0.24637448731709338,11,-0.3190975486191056,1.8640468306445397,4,0
34,409,-0.5854867097479945,6,0.2106470915056277,-0.5366808106508573,0,1
46,524,-0.16955611121545056,10,0.6639337423340077,-2.4543839698201984,0,0
37,414,1.355522750070544,9,-1.6953413559534642,0.2646280156575997,4,0
25,276,0.8009486186938186,10,-0.06787844093108775,0.5013420002756668,0,0
7,620,-1.278704373968901,3,-1.349445412376762,-1.1748489178306463,4,1
20,648,-0.16955611121545056,9,0.008579548365265515,1.0643374231510696,0,0
18,754,0.38501802016127473,10,-1.1273677211805544,1.8640468306445397,0,0
16,617,-0.3081996440596319,3,-0.0060676178699358724,0.5845117786549877,0,0
2,108,-0.3081996440596319,11,2.193093528261073,1.5313677171272562,0,0
34,622,0.523661553005456,11,-0.19479870316303416,-0.5350813918358703,0,1
3,743,0.939592151538,9,0.11780524736005589,1.0643374231510696,0,0
25,170,-1.8332785053456264,10,0.4697522946610694,-0.055255747339788316,4,1
34,210,1.0782356843821812,3,-0.5375489466086864,-0.5350813918358703,0,0
8,436,0.523661553005456,11,-0.144336430227441,-0.597458725620361,0,1
31,20,0.24637448731709338,4,-0.19042967520324253,-0.6950232733345643,0,1
12,73,1.2168792172263627,4,-1.4552195792833171,-2.93420961431628,1,0
20,492,1.4941662829147253,3,-1.4004319686675302,-2.93420961431628,1,0
46,518,0.939592151538,10,0.24887608615380433,-0.3751395103371763,0,0
17,559,1.2168792172263627,9,-0.9635291726883688,-0.5350813918358703,0,0
20,219,0.10773095447291207,11,-0.7013874951008718,-0.6950232733345643,4,1
43,427,0.6623050858496373,9,-0.3190975486191056,4.26317505312495,0,0
8,437,0.38501802016127473,10,3.503801916198557,-1.0149070363319523,4,1
24,46,-0.16955611121545056,4,-0.25356212922223137,-0.3751395103371763,4,0
46,165,-1.0014173082805384,11,-1.94534805838264,0.10468613415890568,0,0
25,150,0.10773095447291207,11,0.150572957058493,-0.5350813918358703,4,1
46,519,0.24637448731709338,10,-0.2863298389206685,0.2646280156575997,4,0
3,769,1.355522750070544,4,-1.345819119170135,-2.774267732817586,1,0
22,574,-0.3081996440596319,3,0.7300699030753532,2.3438724751406217,2,0
8,438,0.939592151538,11,-1.607960796757632,-1.0149070363319523,4,1
13,332,0.8009486186938186,10,-0.6795423553019138,0.2646280156575997,4,0
3,72,0.523661553005456,10,0.3908694948470318,1.8640468306445397,0,0
43,140,-0.16955611121545056,4,0.4891726239423431,-0.6950232733345643,0,0
43,140,0.939592151538,11,0.09510814710893845,-0.7526023506740941,0,1
29,563,0.8009486186938186,9,-0.8783331274724323,-0.5350813918358703,0,1
2,108,-1.5559914396572638,10,1.8654164312767019,1.0643374231510696,0,1
43,140,0.523661553005456,4,0.44549326691432645,-0.6950232733345643,0,1
43,542,0.523661553005456,10,1.2646750868053547,-0.055255747339788316,4,0
30,248,-0.030912578371269244,4,1.4612813449959774,-0.8549651548332583,0,1
43,428,-0.16955611121545056,9,1.0115991422344255,3.46346564563148,3,0
43,208,0.10773095447291207,10,-0.2098718496243152,0.9043955416523757,4,0
29,123,-1.1400608411247197,4,2.892138001827731,0.5845117786549877,0,1
46,530,-1.278704373968901,11,-1.94534805838264,0.10468613415890568,0,1
34,406,1.355522750070544,3,-1.334896549270656,-0.5350813918358703,0,1
43,583,1.355522750070544,3,-0.48293609711129115,1.0643374231510696,2,0
5,146,0.523661553005456,10,0.10688267746057685,-1.0149070363319523,3,1
43,140,0.38501802016127473,4,0.36902435504807374,-0.055255747339788316,4,0
30,138,-0.030912578371269244,11,0.5437854734397383,-0.8549651548332583,0,1
34,622,0.38501802016127473,11,0.2816437958522414,-0.6982221109645381,4,1
3,743,-0.8627737754363571,9,0.5437854734397383,1.8640468306445397,4,0
18,751,0.38501802016127473,10,-1.1492128609795125,1.8640468306445397,0,0
15,193,-0.16955611121545056,3,0.08503753766161877,0.5845117786549877,0,1
25,276,0.523661553005456,10,-0.3077380759236474,-0.055255747339788316,4,0
45,27,-2.942426768099077,10,-0.8652260435930574,-0.8549651548332583,4,1
